slice,rows,mae,rmse
volume=low,15592,4.282471241072594,5.4475816525655665
volume=medium,14535,5.788720456443596,7.292486638738924
volume=high,14873,7.851108566804749,9.848265660869515
store=1,4500,5.677049599655161,7.335341606785737
store=10,4500,6.192961300284994,8.014472967966066
store=2,4500,6.856752824159494,8.824014777348225
store=3,4500,6.360618379049968,8.186532775281247
store=4,4500,6.15521234516671,7.906626188915698
store=5,4500,5.226220876474725,6.7288108834384515
store=6,4500,5.161261724721355,6.6507324418884455
store=7,4500,4.922999395687808,6.335596499118651
store=8,4500,6.743336569030176,8.746466961138971
store=9,4500,6.188227238947075,7.972981373550852
